chamber,name,district,party,county,email,ga_num,start_date,end_date,link,person_id
House,John H. Wills,1,Republican,Dickinson,John.Wills@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=13794,13794
House,Megan Jones,2,Republican,Clay,megan.jones@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=10747,10747
House,Dennis Bush,3,Republican,Cherokee,Dennis.Bush@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=30644,30644
House,Skyler Wheeler,4,Republican,Sioux,Skyler.Wheeler@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=18040,18040
House,Tom Jeneary,5,Republican,Plymouth,Tom.Jeneary@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=27018,27018
House,Jacob Bossman,6,Republican,Woodbury,Jacob.Bossman@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=25497,25497
House,Henry Stone,7,Republican,Winnebago,Henry.Stone@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=30645,30645
House,Terry C. Baxter,8,Republican,Hancock,Terry.Baxter@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=13796,13796
House,Ann Meyer,9,Republican,Webster,Ann.Meyer@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=27019,27019
House,Mike Sexton,10,Republican,Calhoun,Mike.Sexton@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=1153,1153
House,Gary Worthan,11,Republican,Buena Vista,gary.worthan@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=6324,6324
House,Brian Best,12,Republican,Carroll,Brian.Best@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=14800,14800
House,Chris Hall,13,Democrat,Woodbury,chris.hall@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=9388,9388
House,Steven Hansen,14,Democrat,Woodbury,Steve.Hansen@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=30658,30658
House,Charlie McConkey,15,Democrat,Pottawattamie,Charlie.McConkey@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=14801,14801
House,Brent Siegrist,16,Republican,Pottawattamie,Brent.Siegrist@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=30646,30646
House,Matt W. Windschitl,17,Republican,Harrison,matt.windschitl@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=6282,6282
House,Steven Holt,18,Republican,Crawford,Steven.Holt@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=14802,14802
House,Carter F. Nordman,19,Republican,Dallas,Carter.Nordman@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=30647,30647
House,Ray Sorensen,20,Republican,Adair,Ray.Sorensen@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=27020,27020
House,Thomas Jay Moore,21,Republican,Cass,Tom.Moore@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=17112,17112
House,Jon Jacobsen,22,Republican,Pottawattamie,Jon.Jacobsen@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=22321,22321
House,David Sieck,23,Republican,Mills,David.Sieck@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=15920,15920
House,Cecil Dolecheck,24,Republican,Ringgold,cecil.dolecheck@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=88,88
House,Stan Gustafson,25,Republican,Warren,stan.gustafson@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=12712,12712
House,Brooke Boden,26,Republican,Warren,Brooke.Boden@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=30648,30648
House,Joel Fry,27,Republican,Clarke,joel.fry@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=9409,9409
House,Jon Thorup,28,Republican,Marion,Jon.Thorup@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=27021,27021
House,Wes Breckenridge,29,Democrat,Jasper,NA,89,2021-01-11,2021-09-10,/legislators/legislator?ga=89&personID=18033,18033
House,Jon Dunwell,29,Republican,Jasper,Jon.Dunwell@legis.iowa.gov,89,2021-09-11,2023-01-08,/legislators/legislator?ga=89&personID=32165,32165
House,Brian K. Lohse,30,Republican,Polk,Brian.Lohse@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=27022,27022
House,Rick L. Olson,31,Democrat,Polk,rick.olson@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=776,776
House,Ruth Ann Gaines,32,Democrat,Polk,ruthann.gaines@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=9413,9413
House,Brian Meyer,33,Democrat,Polk,brian.meyer@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=6377,6377
House,Bruce Hunter,34,Democrat,Polk,bruce.hunter@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=317,317
House,Ako Abdul-Samad,35,Democrat,Polk,ako.abdul-samad@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=6284,6284
House,Marti Anderson,36,Democrat,Polk,marti.anderson@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=10736,10736
House,John R. Landon,37,Republican,Polk,NA,89,2021-01-11,2021-07-29,/legislators/legislator?ga=89&personID=10751,10751
House,Mike Bousselot,37,Republican,Polk,Mike.Bousselot@legis.iowa.gov,89,2021-07-30,2023-01-08,/legislators/legislator?ga=89&personID=32076,32076
House,Garrett Gobble,38,Republican,Polk,Garrett.Gobble@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=30649,30649
House,Eddie Andrews,39,Republican,Polk,Eddie.Andrews@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=30650,30650
House,John Forbes,40,Democrat,Polk,john.forbes@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=10739,10739
House,Jo Oldson,41,Democrat,Polk,jo.oldson@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=228,228
House,Kristin Sunde,42,Democrat,Polk,Kristin.Sunde@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=27025,27025
House,Jennifer Konfrst,43,Democrat,Polk,Jennifer.Konfrst@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=27026,27026
House,Kenan Judge,44,Democrat,Dallas,Kenan.Judge@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=27027,27027
House,Beth Wessel-Kroeschell,45,Democrat,Story,beth.wessel-kroeschell@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=774,774
House,Ross Wilburn,46,Democrat,Story,Ross.Wilburn@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=28701,28701
House,Phil Thompson,47,Republican,Boone,Phil.Thompson@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=27028,27028
House,Robert P. Bacon,48,Republican,Story,rob.bacon@legis.iowa.gov,89,2021-01-11,2023-01-08,/legislators/legislator?ga=89&personID=9384,9384
