Chamber,Name,District,Party,County,Email,ga_num,link,person_id
House,Ako Abdul-Samad,34,Democrat,Polk,ako.abdul-samad@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=6284,6284
House,Jerome Amos Jr.,62,Democrat,Black Hawk,jerome.amosjr@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=6174,6174
House,Eddie Andrews,43,Republican,Polk,eddie.andrews@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=30650,30650
House,Austin Baeth,36,Democrat,Polk,austin.baeth@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=33976,33976
House,Sean Bagniewski,35,Democrat,Polk,sean.bagniewski@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=33975,33975
House,Michael R. Bergan,63,Republican,Winneshiek,michael.bergan@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=18044,18044
House,Brian Best,11,Republican,Carroll,brian.best@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=14800,14800
House,Jane Bloomingdale,60,Republican,Worth,jane.bloomingdale@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=18043,18043
House,Brooke Boden,21,Republican,Warren,brooke.boden@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=30648,30648
House,Jacob Bossman,14,Republican,Woodbury,jacob.bossman@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=25497,25497
House,Dr. Steven P. Bradley,66,Republican,Jones,steven.bradley@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=30652,30652
House,Timi M. Brown-Powers,61,Democrat,Black Hawk,timi.brown-powers@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=14805,14805
House,Molly Buck,41,Democrat,Polk,molly.buck@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=33979,33979
House,Sue Cahill,52,Democrat,Marshall,sue.cahill@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=30660,30660
House,Ken Carlson,13,Republican,Monona,ken.carlson@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=33967,33967
House,Mark Cisneros,96,Republican,Muscatine,mark.cisneros@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=30656,30656
House,Taylor R. Collins,95,Republican,Des Moines,taylor.collins@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=27618,27618
House,Jeff Cooling,77,Democrat,Linn,jeff.cooling@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=33987,33987
House,Ken Croken,97,Democrat,Scott,ken.croken@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=33997,33997
House,Tom Determann,69,Republican,Clinton,tom.determann@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=33984,33984
House,Dave Deyoe,51,Republican,Story,dave.deyoe@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=6289,6289
House,Zach Dieken,5,Republican,O’Brien,zachary.dieken@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=33965,33965
House,Jon Dunwell,38,Republican,Jasper,jon.dunwell@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=32165,32165
House,Tracy Ehlert,79,Democrat,Linn,tracy.ehlert@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=27032,27032
House,Dean C. Fisher,53,Republican,Tama,dean.fisher@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=10755,10755
House,John Forbes,44,Democrat,Polk,john.forbes@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=10739,10739
House,Joel Fry,24,Republican,Clarke,joel.fry@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=9409,9409
House,Ruth Ann Gaines,33,Democrat,Polk,ruthann.gaines@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=9413,9413
House,Dan Gehlbach,46,Republican,Dallas,dan.gehlbach@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=33980,33980
House,Thomas D. Gerhold,84,Republican,Benton,thomas.gerhold@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=27033,27033
House,Eric J. Gjerde,74,Democrat,Linn,eric.gjerde@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=30659,30659
House,Cindy Golding,83,Republican,Linn,cindy.golding@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=33990,33990
House,Martin L. Graber,100,Republican,Lee,martin.graber@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=30655,30655
House,Pat Grassley,57,Republican,Butler,pat.grassley@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=6277,6277
House,Stanley R. Gustafson,22,Republican,Warren,stan.gustafson@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=12712,12712
House,Bill Gustoff,40,Republican,Polk,bill.gustoff@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=33978,33978
House,Austin Harris,26,Republican,Appanoose,austin.harris@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=33971,33971
House,Helena Hayes,88,Republican,Mahaska,helena.hayes@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=33991,33991
House,Robert Henderson,2,Republican,Woodbury,robert.henderson@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=33964,33964
House,Steven Holt,12,Republican,Crawford,steven.holt@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=14802,14802
House,Heather Hora,92,Republican,Washington,heather.hora@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=33995,33995
House,Chad Ingels,68,Republican,Fayette,chad.ingels@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=30653,30653
House,Charles Isenhart,72,Democrat,Dubuque,charles.isenhart@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=6575,6575
House,David Jacoby,86,Democrat,Johnson,david.jacoby@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=320,320
House,Lindsay James,71,Democrat,Dubuque,lindsay.james@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=27039,27039
House,Thomas Jeneary,3,Republican,Plymouth,tom.jeneary@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=27018,27018
House,Craig P. Johnson,67,Republican,Buchanan,craig.johnson@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=18075,18075
House,Megan Jones,6,Republican,Clay,megan.jones@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=10747,10747
House,Kenan Judge,27,Democrat,Dallas,kenan.judge@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=27027,27027
House,Bobby Kaufmann,82,Republican,Cedar,bobby.kaufmann@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=10756,10756
House,Barb Kniff McCulla,37,Republican,Marion,barb.kniffmcculla@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=33977,33977
House,Jennifer Konfrst,32,Democrat,Polk,jennifer.konfrst@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=27026,27026
House,Bob Kressig,75,Democrat,Black Hawk,bob.kressig@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=781,781
House,Monica Kurth,98,Democrat,Scott,monica.kurth@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=18614,18614
House,Shannon Latham,55,Republican,Franklin,shannon.latham@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=30651,30651
House,Elinor A. Levin,89,Democrat,Johnson,elinor.levin@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=33992,33992
House,Brian K. Lohse,45,Republican,Polk,brian.lohse@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=27022,27022
House,Shannon Lundgren,65,Republican,Dubuque,shannon.lundgren@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=18046,18046
House,Mary L. Madison,31,Democrat,Polk,mary.madison@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=33974,33974
House,Heather Matson,42,Democrat,Polk,heather.matson@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=27023,27023
House,Joshua Meggers,54,Republican,Grundy,joshua.meggers@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=33981,33981
House,Ann Meyer,8,Republican,Webster,ann.meyer@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=27019,27019
House,Brian Meyer,29,Democrat,Polk,brian.meyer@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=6377,6377
House,Gary M. Mohr,93,Republican,Scott,gary.mohr@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=18038,18038
House,Norlin Mommsen,70,Republican,Clinton,norlin.mommsen@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=14810,14810
House,Thomas Jay Moore,18,Republican,Cass,tom.moore@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=17112,17112
House,Amy Nielsen,85,Democrat,Johnson,amy.nielsen@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=18050,18050
House,Carter F. Nordman,47,Republican,Guthrie,carter.nordman@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=30647,30647
House,Rick L. Olson,39,Democrat,Polk,rick.olson@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=776,776
House,Anne Osmundson,64,Republican,Clayton,anne.osmundson@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=27029,27029
House,Matthew B. Rinker,99,Republican,Des Moines,matthew.rinker@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=33998,33998
House,Sami Scheetz,78,Democrat,Linn,sami.scheetz@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=33988,33988
House,J.D. Scholten,1,Democrat,Woodbury,j.d.scholten@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=33963,33963
House,Michael V. Sexton,7,Republican,Calhoun,mike.sexton@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=1153,1153
House,Brad Sherman,91,Republican,Iowa,brad.sherman@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=33994,33994
House,Jeff Shipley,87,Republican,Van Buren,jeff.shipley@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=27036,27036
House,David Sieck,16,Republican,Mills,david.sieck@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=15920,15920
House,Brent Siegrist,19,Republican,Pottawattamie,brent.siegrist@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=30646,30646
House,Ray Sorensen,23,Republican,Adair,ray.sorensen@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=27020,27020
House,Megan L. Srinivas,30,Democrat,Polk,megan.srinivas@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=33973,33973
House,Art Staed,80,Democrat,Linn,art.staed@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=10743,10743
House,Sharon Sue Steckman,59,Democrat,Cerro Gordo,sharon.steckman@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=6580,6580
House,Luana Stoltenberg,81,Republican,Scott,luana.stoltenberg@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=33989,33989
House,Henry Stone,9,Republican,Winnebago,henry.stone@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=30645,30645
House,Mark I. Thompson,56,Republican,Wright,mark.thompson@legis.iowa.gov,90,/legislators/legislator?ga=90&personID=33982,33982
