chamber,name,district,party,county,email,ga_num,link,person_id
House,J.D. Scholten,1,Democrat,Woodbury,j.d.scholten@legis.iowa.gov,91,/legislators/legislator?ga=91&personID=33963,33963
House,Bob Henderson,2,Republican,Woodbury,robert.henderson@legis.iowa.gov,91,/legislators/legislator?ga=91&personID=33964,33964
House,Thomas M. Jeneary,3,Republican,Plymouth,tom.jeneary@legis.iowa.gov,91,/legislators/legislator?ga=91&personID=27018,27018
House,Skyler Wheeler,4,Republican,Sioux,skyler.wheeler@legis.iowa.gov,91,/legislators/legislator?ga=91&personID=18040,18040
House,Zach Dieken,5,Republican,O’Brien,zachary.dieken@legis.iowa.gov,91,/legislators/legislator?ga=91&personID=33965,33965
House,Megan Jones,6,Republican,Clay,megan.jones@legis.iowa.gov,91,/legislators/legislator?ga=91&personID=10747,10747
House,Michael V. Sexton,7,Republican,Calhoun,mike.sexton@legis.iowa.gov,91,/legislators/legislator?ga=91&personID=1153,1153
House,Ann Meyer,8,Republican,Webster,ann.meyer@legis.iowa.gov,91,/legislators/legislator?ga=91&personID=27019,27019
House,Henry Stone,9,Republican,Winnebago,henry.stone@legis.iowa.gov,91,/legislators/legislator?ga=91&personID=30645,30645
House,John H. Wills,10,Republican,Dickinson,john.wills@legis.iowa.gov,91,/legislators/legislator?ga=91&personID=13794,13794
House,Craig Steven Williams,11,Republican,Carroll,craig.williams@legis.iowa.gov,91,/legislators/legislator?ga=91&personID=30545,30545
House,Steven C. Holt,12,Republican,Crawford,steven.holt@legis.iowa.gov,91,/legislators/legislator?ga=91&personID=14802,14802
House,Travis M. Sitzmann,13,Republican,Plymouth,travis.sitzmann@legis.iowa.gov,91,/legislators/legislator?ga=91&personID=37378,37378
House,Jacob Bossman,14,Republican,Woodbury,jacob.bossman@legis.iowa.gov,91,/legislators/legislator?ga=91&personID=25497,25497
House,Matt W. Windschitl,15,Republican,Harrison,matt.windschitl@legis.iowa.gov,91,/legislators/legislator?ga=91&personID=6282,6282
House,David Sieck,16,Republican,Mills,david.sieck@legis.iowa.gov,91,/legislators/legislator?ga=91&personID=15920,15920
House,Devon Wood,17,Republican,Taylor,devon.wood@legis.iowa.gov,91,/legislators/legislator?ga=91&personID=33968,33968
House,Thomas Jay Moore,18,Republican,Cass,tom.moore@legis.iowa.gov,91,/legislators/legislator?ga=91&personID=17112,17112
House,Brent Siegrist,19,Republican,Pottawattamie,brent.siegrist@legis.iowa.gov,91,/legislators/legislator?ga=91&personID=30646,30646
House,Josh Turek,20,Democrat,Pottawattamie,josh.turek@legis.iowa.gov,91,/legislators/legislator?ga=91&personID=33969,33969
House,Brooke Boden,21,Republican,Warren,brooke.boden@legis.iowa.gov,91,/legislators/legislator?ga=91&personID=30648,30648
House,Samantha Fett,22,Republican,Warren,samantha.fett@legis.iowa.gov,91,/legislators/legislator?ga=91&personID=37379,37379
House,Ray Sorensen,23,Republican,Adair,ray.sorensen@legis.iowa.gov,91,/legislators/legislator?ga=91&personID=27020,27020
House,Sam Wengryn,24,Republican,Decatur,sam.wengryn@legis.iowa.gov,91,/legislators/legislator?ga=91&personID=37380,37380
House,Hans C. Wilz,25,Republican,Wapello,hans.wilz@legis.iowa.gov,91,/legislators/legislator?ga=91&personID=33970,33970
House,Austin Harris,26,Republican,Appanoose,austin.harris@legis.iowa.gov,91,/legislators/legislator?ga=91&personID=33971,33971
House,Kenan Judge,27,Democrat,Dallas,kenan.judge@legis.iowa.gov,91,/legislators/legislator?ga=91&personID=27027,27027
House,David E. Young,28,Republican,Dallas,david.young@legis.iowa.gov,91,/legislators/legislator?ga=91&personID=33972,33972
House,Brian Meyer,29,Democrat,Polk,brian.meyer@legis.iowa.gov,91,/legislators/legislator?ga=91&personID=6377,6377
House,Dr. Megan L. Srinivas,30,Democrat,Polk,megan.srinivas@legis.iowa.gov,91,/legislators/legislator?ga=91&personID=33973,33973
House,Mary Lee Madison,31,Democrat,Polk,mary.madison@legis.iowa.gov,91,/legislators/legislator?ga=91&personID=33974,33974
House,Jennifer Konfrst,32,Democrat,Polk,jennifer.konfrst@legis.iowa.gov,91,/legislators/legislator?ga=91&personID=27026,27026
House,Ruth Ann Gaines,33,Democrat,Polk,ruthann.gaines@legis.iowa.gov,91,/legislators/legislator?ga=91&personID=9413,9413
House,Rob Johnson,34,Democrat,Polk,rob.johnson@legis.iowa.gov,91,/legislators/legislator?ga=91&personID=37381,37381
House,Sean Bagniewski,35,Democrat,Polk,sean.bagniewski@legis.iowa.gov,91,/legislators/legislator?ga=91&personID=33975,33975
House,Austin Baeth,36,Democrat,Polk,austin.baeth@legis.iowa.gov,91,/legislators/legislator?ga=91&personID=33976,33976
House,Barb Kniff McCulla,37,Republican,Marion,barb.kniffmcculla@legis.iowa.gov,91,/legislators/legislator?ga=91&personID=33977,33977
House,Jon Dunwell,38,Republican,Jasper,jon.dunwell@legis.iowa.gov,91,/legislators/legislator?ga=91&personID=32165,32165
House,Rick L. Olson,39,Democrat,Polk,rick.olson@legis.iowa.gov,91,/legislators/legislator?ga=91&personID=776,776
House,Bill Gustoff,40,Republican,Polk,bill.gustoff@legis.iowa.gov,91,/legislators/legislator?ga=91&personID=33978,33978
House,Ryan Weldon,41,Republican,Polk,ryan.weldon@legis.iowa.gov,91,/legislators/legislator?ga=91&personID=37382,37382
House,Heather Matson,42,Democrat,Polk,heather.matson@legis.iowa.gov,91,/legislators/legislator?ga=91&personID=27023,27023
House,Eddie Andrews,43,Republican,Polk,eddie.andrews@legis.iowa.gov,91,/legislators/legislator?ga=91&personID=30650,30650
House,Larry McBurney,44,Democrat,Polk,larry.mcburney@legis.iowa.gov,91,/legislators/legislator?ga=91&personID=37383,37383
House,Brian K. Lohse,45,Republican,Polk,brian.lohse@legis.iowa.gov,91,/legislators/legislator?ga=91&personID=27022,27022
