bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1917286,2177,HF1,1,Introduced,2025-01-14,"A bill for an act relating to the eligibility of students enrolled in nonpublic schools to compete in extracurricular interscholastic athletic contests or competitions provided by public schools, and including effective date provisions.(See HF 189.)","A bill for an act relating to the eligibility of students enrolled in nonpublic schools to compete in extracurricular interscholastic athletic contests or competitions provided by public schools, and including effective date provisions.(See HF 189.)",0,,2025-03-21,"Withdrawn. H.J. 772.",https://legiscan.com/IA/bill/HF1/2025,https://www.legis.iowa.gov/legislation/BillBook?ga=91&ba=HF1
1917571,2177,HF2,1,Introduced,2025-01-14,"A bill for an act relating to the qualifications of a county medical examiner.(See HF 305.)","A bill for an act relating to the qualifications of a county medical examiner.(See HF 305.)",0,,2025-02-24,"Withdrawn. H.J. 418.",https://legiscan.com/IA/bill/HF2/2025,https://www.legis.iowa.gov/legislation/BillBook?ga=91&ba=HF2
1917017,2177,HF3,1,Introduced,2025-01-14,"A bill for an act relating to the collection of fines issued for excessive speed violations detected by an automated or remote system for traffic law enforcement, and including applicability provisions.(See HF 764.)","A bill for an act relating to the collection of fines issued for excessive speed violations detected by an automated or remote system for traffic law enforcement, and including applicability provisions.(See HF 764.)",0,,2025-03-05,"Committee report approving bill, renumbered as HF 764.",https://legiscan.com/IA/bill/HF3/2025,https://www.legis.iowa.gov/legislation/BillBook?ga=91&ba=HF3
1917267,2177,HF4,1,Introduced,2025-01-14,"A bill for an act relating to health benefit plans, claims for reimbursement, and explanation of benefits.","A bill for an act relating to health benefit plans, claims for reimbursement, and explanation of benefits.",1453,"House Commerce",2025-01-29,"Subcommittee recommends passage.",https://legiscan.com/IA/bill/HF4/2025,https://www.legis.iowa.gov/legislation/BillBook?ga=91&ba=HF4
1917448,2177,HF5,1,Introduced,2025-01-14,"A bill for an act relating to insurance coverage for covered individuals for the treatment of autism spectrum disorder and including applicability provisions.(See HF 330.)","A bill for an act relating to insurance coverage for covered individuals for the treatment of autism spectrum disorder and including applicability provisions.(See HF 330.)",0,,2025-02-24,"Withdrawn. H.J. 418.",https://legiscan.com/IA/bill/HF5/2025,https://www.legis.iowa.gov/legislation/BillBook?ga=91&ba=HF5
1917109,2177,HF6,1,Introduced,2025-01-14,"A bill for an act relating to the minimum amounts required for motor vehicle financial responsibility, and making penalties applicable.","A bill for an act relating to the minimum amounts required for motor vehicle financial responsibility, and making penalties applicable.",1453,"House Commerce",2025-01-29,"Subcommittee recommends passage.",https://legiscan.com/IA/bill/HF6/2025,https://www.legis.iowa.gov/legislation/BillBook?ga=91&ba=HF6
1917320,2177,HF7,1,Introduced,2025-01-14,"A bill for an act providing for the regulation of delivery network companies and drivers, making penalties applicable, and including effective date provisions.(See HF 545.)","A bill for an act providing for the regulation of delivery network companies and drivers, making penalties applicable, and including effective date provisions.(See HF 545.)",0,,2025-02-20,"Committee report approving bill, renumbered as HF 545.",https://legiscan.com/IA/bill/HF7/2025,https://www.legis.iowa.gov/legislation/BillBook?ga=91&ba=HF7
1917559,2177,HF8,1,Introduced,2025-01-14,"A bill for an act relating to student access to broad-spectrum cannabidiol products from school nurses during the school day.","A bill for an act relating to student access to broad-spectrum cannabidiol products from school nurses during the school day.",1455,"House Education",2025-01-14,"Introduced, referred to Education. H.J. 39.",https://legiscan.com/IA/bill/HF8/2025,https://www.legis.iowa.gov/legislation/BillBook?ga=91&ba=HF8
1917398,2177,HF9,1,Introduced,2025-01-14,"A bill for an act establishing the school security personnel grant program within the department of education and making appropriations.","A bill for an act establishing the school security personnel grant program within the department of education and making appropriations.",1455,"House Education",2025-01-14,"Introduced, referred to Education. H.J. 39.",https://legiscan.com/IA/bill/HF9/2025,https://www.legis.iowa.gov/legislation/BillBook?ga=91&ba=HF9
1917213,2177,HF10,1,Introduced,2025-01-14,"A bill for an act relating to the attachment of the territory of a school district that is subject to an approved dissolution proposal, and including applicability provisions.(See HF 174.)","A bill for an act relating to the attachment of the territory of a school district that is subject to an approved dissolution proposal, and including applicability provisions.(See HF 174.)",0,,2025-02-24,"Withdrawn. H.J. 418.",https://legiscan.com/IA/bill/HF10/2025,https://www.legis.iowa.gov/legislation/BillBook?ga=91&ba=HF10
