bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1917286,3054326,text,56294,text/html,Introduced,https://legiscan.com/IA/text/HF1/id/3054326,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF1.html
1917571,3054594,text,25783,text/html,Introduced,https://legiscan.com/IA/text/HF2/id/3054594,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF2.html
1917017,3054076,text,32172,text/html,Introduced,https://legiscan.com/IA/text/HF3/id/3054076,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF3.html
1917267,3054307,text,39269,text/html,Introduced,https://legiscan.com/IA/text/HF4/id/3054307,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF4.html
1917448,3054477,text,92356,text/html,Introduced,https://legiscan.com/IA/text/HF5/id/3054477,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF5.html
1917109,3054162,text,66300,text/html,Introduced,https://legiscan.com/IA/text/HF6/id/3054162,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF6.html
1917320,3054357,text,194480,text/html,Introduced,https://legiscan.com/IA/text/HF7/id/3054357,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF7.html
1917559,3054582,text,53187,text/html,Introduced,https://legiscan.com/IA/text/HF8/id/3054582,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF8.html
1917398,3054429,text,55782,text/html,Introduced,https://legiscan.com/IA/text/HF9/id/3054429,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF9.html
1917213,3054256,text,23134,text/html,Introduced,https://legiscan.com/IA/text/HF10/id/3054256,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF10.html
1917306,3054343,text,31604,text/html,Introduced,https://legiscan.com/IA/text/HF11/id/3054343,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF11.html
1917428,3054458,text,31968,text/html,Introduced,https://legiscan.com/IA/text/HF12/id/3054458,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF12.html
1917538,3054562,text,22754,text/html,Introduced,https://legiscan.com/IA/text/HF13/id/3054562,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF13.html
1917199,3054242,text,25413,text/html,Introduced,https://legiscan.com/IA/text/HF14/id/3054242,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF14.html
1917140,3054190,text,97157,text/html,Introduced,https://legiscan.com/IA/text/HF15/id/3054190,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF15.html
1917157,3054205,text,22236,text/html,Introduced,https://legiscan.com/IA/text/HF16/id/3054205,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF16.html
1917031,3054090,text,46914,text/html,Introduced,https://legiscan.com/IA/text/HF17/id/3054090,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF17.html
1917080,3054134,text,19815,text/html,Introduced,https://legiscan.com/IA/text/HF18/id/3054134,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF18.html
1917414,3054444,text,18813,text/html,Introduced,https://legiscan.com/IA/text/HF19/id/3054444,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF19.html
1917505,3054531,text,14322,text/html,Introduced,https://legiscan.com/IA/text/HF20/id/3054531,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF20.html
1917622,3054640,text,39560,text/html,Introduced,https://legiscan.com/IA/text/HF21/id/3054640,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF21.html
1917521,3054547,text,32055,text/html,Introduced,https://legiscan.com/IA/text/HF22/id/3054547,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF22.html
1917360,3054393,text,14256,text/html,Introduced,https://legiscan.com/IA/text/HF23/id/3054393,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF23.html
1917467,3054496,text,36166,text/html,Introduced,https://legiscan.com/IA/text/HF24/id/3054496,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF24.html
1917235,3054277,text,43744,text/html,Introduced,https://legiscan.com/IA/text/HF25/id/3054277,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF25.html
