bill_id,date,chamber,sequence,action
1914825,2025-01-13,House,1,"Resolution filed, laid over under Rule 25. H.J. 10."
1914825,2025-01-13,House,2,"Asked and received unanimous consent for immediate consideration. H.J. 10."
1914825,2025-01-13,House,3,"Resolution adopted. H.J. 11."
1914825,2025-01-13,House,4,"Immediate message. H.J. 12."
1914825,2025-01-13,Senate,5,"Message from House. S.J. 14."
1914825,2025-01-13,Senate,6,"Read first time, placed on calendar. S.J. 14."
1914825,2025-01-13,Senate,7,"Resolution adopted. S.J. 14."
1914825,2025-01-13,Senate,8,"Immediate message. S.J. 15."
1914825,2025-01-13,House,9,"Message from Senate. H.J. 17."
1914891,2025-01-13,House,1,"Resolution filed, laid over under Rule 25. H.J. 14."
1914891,2025-01-13,House,2,"Asked and received unanimous consent for immediate consideration. H.J. 14."
1914891,2025-01-13,House,3,"Resolution adopted. H.J. 14."
1914962,2025-01-13,House,1,"Resolution filed, laid over under Rule 25. H.J. 14."
1914962,2025-01-13,House,2,"Asked and received unanimous consent for immediate consideration. H.J. 14."
1914962,2025-01-13,House,3,"Resolution adopted. H.J. 14."
1915030,2025-01-13,House,1,"Resolution filed, laid over under Rule 25. H.J. 11."
1915030,2025-01-13,House,2,"Asked and received unanimous consent for immediate consideration. H.J. 11."
1915030,2025-01-13,House,3,"Resolution adopted. H.J. 11."
1915030,2025-01-13,House,4,"Immediate message. H.J. 12."
1915030,2025-01-13,Senate,5,"Message from House. S.J. 14."
1915030,2025-01-13,Senate,6,"Read first time, placed on calendar. S.J. 14."
1915030,2025-01-13,Senate,7,"Resolution adopted. S.J. 15."
1915030,2025-01-13,Senate,8,"Immediate message. S.J. 15."
1915030,2025-01-13,House,9,"Message from Senate. H.J. 17."
1915261,2025-01-13,Senate,1,"Introduced, referred to Transportation. S.J. 35."
1915261,2025-01-14,Senate,2,"Subcommittee: Shipley, Pike, and Winckler. S.J. 71."
1915261,2025-01-16,Senate,3,"Subcommittee Meeting: 01/22/2025 2:10PM Room 217 Conference Room."
1915261,2025-01-22,Senate,4,"Subcommittee recommends indefinite postponement. []."
1915577,2025-01-13,House,1,"Resolution filed, laid over under Rule 25. H.J. 11."
1915577,2025-01-13,House,2,"Asked and received unanimous consent for immediate consideration. H.J. 11."
1915577,2025-01-13,House,3,"Resolution adopted. H.J. 12."
1915577,2025-01-13,House,4,"Immediate message. H.J. 12."
1915577,2025-01-13,Senate,5,"Message from House. S.J. 14."
1915577,2025-01-13,Senate,6,"Read first time, placed on calendar. S.J. 14."
1915577,2025-01-13,Senate,7,"Resolution adopted. S.J. 15."
1915577,2025-01-13,Senate,8,"Immediate message. S.J. 15."
1915577,2025-01-13,House,9,"Message from Senate. H.J. 17."
1915951,2025-01-13,Senate,1,"Introduced, referred to Education. S.J. 37."
1915951,2025-01-27,Senate,2,"Subcommittee: Taylor, Garrett, and Winckler. S.J. 142."
1915951,2025-02-03,Senate,3,"Subcommittee Meeting: 02/06/2025 12:00PM Room 217 Conference Room."
1915951,2025-02-06,Senate,4,"Subcommittee recommends amendment and passage."
1915951,2025-02-12,Senate,5,"Committee report approving bill, renumbered as SF 288. S.J. 258."
1916002,2025-01-13,Senate,1,"Introduced, referred to State Government. S.J. 35."
1916002,2025-01-16,Senate,2,"Subcommittee: Alons, Campbell, and Staed. S.J. 107."
1916002,2025-01-22,Senate,3,"Subcommittee Meeting: 01/23/2025 9:30AM Room 217 Conference Room."
1916002,2025-01-23,Senate,4,"Subcommittee recommends passage."
1916051,2025-01-13,Senate,1,"Introduced, referred to Judiciary. S.J. 35."
1916051,2025-01-14,Senate,2,"Subcommittee: Schultz, Bousselot, and Petersen. S.J. 71."
1916102,2025-01-13,Senate,1,"Introduced, referred to Agriculture. S.J. 36."
1916102,2025-01-15,Senate,2,"Subcommittee: Green, Knox, and Sires. S.J. 90."
1916102,2025-01-23,Senate,3,"Subcommittee Meeting: 01/28/2025 10:00AM Room 217 Conference Room."
1916102,2025-01-28,Senate,4,"Subcommittee recommends amendment and passage."
1916151,2025-01-13,Senate,1,"Introduced, referred to Health and Human Services. S.J. 35."
1916151,2025-01-16,Senate,2,"Subcommittee: Guth, Donahue, and Pike. S.J. 107."
1916151,2025-01-20,Senate,3,"Subcommittee Meeting: 01/22/2025 12:30PM Senate Lounge."
1916151,2025-01-22,Senate,4,"Subcommittee recommends passage."
1916151,2025-03-06,Senate,5,"Committee report, recommending passage. S.J. 435."
1916151,2025-03-06,Senate,6,"Placed on calendar."
1916151,2025-03-10,Senate,7,"Attached to HF 299. S.J. 457."
1916151,2025-04-03,Senate,8,"Placed on calendar under unfinished business. S.J. 688."
1916151,2025-04-29,Senate,9,"HF 299 substituted. S.J. 920."
1916151,2025-04-29,Senate,10,"Withdrawn. S.J. 921."
1916200,2025-01-13,Senate,1,"Introduced, referred to Transportation. S.J. 36."
1916200,2025-01-14,Senate,2,"Subcommittee: Lofgren, Bisignano, and Shipley. S.J. 71."
1916200,2025-01-14,Senate,3,"Subcommittee Meeting: 01/15/2025 8:30AM Senate Lounge."
1916200,2025-01-15,Senate,4,"Subcommittee recommends indefinite postponement. []."
1916256,2025-01-13,Senate,1,"Introduced, referred to Judiciary. S.J. 35."
1916256,2025-01-14,Senate,2,"Subcommittee: Green, Blake, and Taylor. S.J. 71."
1916256,2025-01-16,Senate,3,"Subcommittee Meeting: 01/22/2025 2:45PM Room 217 Conference Room."
1916256,2025-01-22,Senate,4,"Subcommittee recommends amendment and passage."
1916256,2025-02-12,Senate,5,"Committee report approving bill, renumbered as SF 289. S.J. 260."
1916305,2025-01-13,Senate,1,"Introduced, referred to Education. S.J. 36."
1916305,2025-01-27,Senate,2,"Subcommittee: Green, Donahue, and Pike. S.J. 142."
1916305,2025-01-28,Senate,3,"Subcommittee Meeting: 01/30/2025 11:00AM Room 315."
1916305,2025-01-30,Senate,4,"Subcommittee recommends passage."
1916305,2025-02-27,Senate,5,"Committee report, recommending passage. S.J. 383."
1916305,2025-02-25,Senate,6,"Placed on calendar."
1916305,2025-06-16,Senate,7,"Referred to Education. S.J. 1057."
1916354,2025-01-13,Senate,1,"Introduced, referred to Education. S.J. 37."
1916354,2025-01-28,Senate,2,"Subcommittee: Taylor, Gruenhagen, and Quirmbach. S.J. 151."
