people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid,committee_id
6970,"Dave Jacoby",Dave,J.,Jacoby,,,1,D,1,Rep,HD-086,12999526,32757,,David_Jacoby,218551,0
6973,"Jason Schultz",Jason,,Schultz,,,2,R,2,Sen,SD-006,12999504,103373,,Jason_Schultz,271929,0
6981,"Bobby Kaufmann",Bobby,,Kaufmann,,,2,R,1,Rep,HD-082,11023416,137993,,Bobby_Kaufmann,404581,0
6982,"Matt Windschitl",Matt,W.,Windschitl,,,2,R,1,Rep,HD-015,6033928,57046,,Matt_Windschitl,249746,0
7000,"Bob Kressig",Bob,M.,Kressig,,,1,D,1,Rep,HD-075,6012907,32632,,Bob_Kressig,227063,0
7003,"Cindy Winckler",Cindy,L.,Winckler,,,1,D,2,Sen,SD-049,6013503,32798,,Cindy_Winckler,205721,0
7010,"Annette Sweeney",Annette,,Sweeney,,,2,R,2,Sen,SD-027,6080199,103365,,Annette_Sweeney,271927,0
7033,"Beth Wessel-Kroeschell",Beth,,Wessel-Kroeschell,,,1,D,1,Rep,HD-049,6177376,32637,,Beth_Wessel-Kroeschell,227071,0
7037,"Janet Petersen",Janet,,Petersen,,,1,D,2,Sen,SD-018,6019894,32520,,Janet_Petersen,205728,0
7061,Commerce,,,,,,0,,1,Rep,,0,0,,,0,1453
7066,Judiciary,,,,,,0,,1,Rep,,0,0,,,0,1460
7069,"Rick Olson",Rick,L.,Olson,,,1,D,1,Rep,HD-039,6452649,32444,,Rick_Olson_(Iowa),227073,0
7071,"State Government",,,,,,0,,1,Rep,,0,0,,,0,1466
7072,"Veterans Affairs",,,,,,0,,1,Rep,,0,0,,,0,1468
7075,"Pat Grassley",Pat,,Grassley,,,2,R,1,Rep,HD-057,6668217,56852,,Pat_Grassley,249723,0
7076,"Public Safety",,,,,,0,,1,Rep,,0,0,,,0,1464
7077,Education,,,,,,0,,1,Rep,,0,0,,,0,1455
7080,"Local Government",,,,,,0,,1,Rep,,0,0,,,0,1462
7085,Agriculture,,,,,,0,,1,Rep,,0,0,,,0,1451
7087,Appropriations,,,,,,0,,1,Rep,,0,0,,,0,1452
7088,"Environmental Protection",,,,,,0,,1,Rep,,0,0,,,0,1456
7089,Transportation,,,,,,0,,1,Rep,,0,0,,,0,1467
7090,"Natural Resources",,,,,,0,,1,Rep,,0,0,,,0,1463
7097,Ethics,,,,,,0,,1,Rep,,0,0,,,0,1457
7121,Judiciary,,,,,,0,,2,Sen,,0,0,,,0,1479
7125,"William Dotzler",William,A.,Dotzler,Jr.,Bill,1,D,2,Sen,SD-031,6205957,11013,,William_Dotzler,194046,0
7131,"Local Government",,,,,,0,,2,Sen,,0,0,,,0,1481
7132,"Ways & Means",,,,,,0,,2,Sen,,0,0,,,0,1488
7133,"State Government",,,,,,0,,2,Sen,,0,0,,,0,1485
7134,"Herman Quirmbach",Herman,C.,Quirmbach,,,1,D,2,Sen,SD-025,6013582,32647,,Herman_Quirmbach,212166,0
7151,Education,,,,,,0,,2,Sen,,0,0,,,0,1474
7158,"Veterans Affairs",,,,,,0,,2,Sen,,0,0,,,0,1487
7159,Transportation,,,,,,0,,2,Sen,,0,0,,,0,1486
7160,Commerce,,,,,,0,,2,Sen,,0,0,,,0,1472
7164,Agriculture,,,,,,0,,2,Sen,,0,0,,,0,1470
7166,Appropriations,,,,,,0,,2,Sen,,0,0,,,0,1471
7168,Ethics,,,,,,0,,2,Sen,,0,0,,,0,1476
10726,"Mark Lofgren",Mark,S.,Lofgren,,,2,R,2,Sen,SD-048,12999614,122026,,Mark_Lofgren,291372,0
10728,"Julian Garrett",Julian,B.,Garrett,,,2,R,2,Sen,SD-011,6101063,57126,,Julian_B._Garrett,291369,0
11623,"Ruth Ann Gaines","Ruth Ann",,Gaines,,,1,D,1,Rep,HD-033,6138524,122043,,Ruth_Ann_Gaines,291364,0
13191,"Jack Whitver",Jack,,Whitver,,,2,R,2,Sen,SD-023,12999588,68976,,Jack_Whitver,330075,0
14789,"Mark Costello",Mark,,Costello,,,2,R,2,Sen,SD-008,11023372,137943,,Mark_Costello_(Iowa),404415,0
14790,"Dean Fisher",Dean,C.,Fisher,,,2,R,1,Rep,HD-053,6035921,137989,,Dean_Fisher,404575,0
14793,"Megan Hess Jones",Megan,,"Hess Jones",,,2,R,1,Rep,HD-006,12999470,137928,,Megan_Jones,404360,0
14797,"Sandy Salmon",Sandy,,Salmon,,,2,R,2,Sen,SD-029,6083924,122095,,Sandy_Salmon,291340,0
15397,"Dennis Guth",Dennis,R.,Guth,,,2,R,2,Sen,SD-028,6101704,137900,,Dennis_Guth,404288,0
15398,"Ken Rozenboom",Ken,,Rozenboom,,,2,R,2,Sen,SD-019,6142167,134145,,Ken_Rozenboom,404326,0
15400,"Amy Sinclair",Amy,B.,Sinclair,,,2,R,2,Sen,SD-012,6298610,85793,,Amy_Sinclair,404299,0
15401,"Daniel Zumbach",Daniel,,Zumbach,,,2,R,2,Sen,SD-034,11023406,137923,,Dan_Zumbach,404343,0
15615,"Art Staed",Art,,Staed,,,1,D,2,Sen,SD-040,6095152,32771,,Art_Staed,249732,0
16122,"Brian Meyer",Brian,J.,Meyer,,,1,D,1,Rep,HD-029,6032935,73744,,Brian_Meyer_(Iowa),473802,0
17037,"Tony Bisignano",Tony,,Bisignano,,,1,D,2,Sen,SD-015,6031767,6415,,Tony_Bisignano,251009,0
17218,"Steven Holt",Steven,,Holt,,,2,R,1,Rep,HD-012,18229443,151141,,Steven_Holt,491337,0
17286,"Liz Bennett",Liz,,Bennett,,,1,D,2,Sen,SD-039,21090074,151097,,Liz_Bennett,490537,0
17287,"Timi Brown-powers",Timi,,Brown-powers,,,1,D,1,Rep,HD-061,23353688,151105,,Timi_Brown-Powers,491302,0
17289,"Norlin Mommsen",Norlin,,Mommsen,,,2,R,1,Rep,HD-070,15505928,151166,,Norlin_Mommsen,491277,0
17290,"John Wills",John,H.,Wills,,,2,R,1,Rep,HD-010,23353651,151202,,John_H._Wills,490513,0
