bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1916151,1507762,2025-03-06,Senate,"Senate Health And Human Services Report",10,5,0,0,15
1916305,1501788,2025-02-27,Senate,"Senate Education Report",10,5,0,0,15
1917017,1500573,2025-02-26,House,"House Committee On Public Safety Report",15,7,0,0,22
1917062,1487073,2025-02-11,House,"House Committee On Natural Resources Report",13,8,0,0,21
1917140,1477499,2025-01-30,House,"House Committee On Judiciary Report",21,0,0,0,21
1917199,1487116,2025-02-11,House,"House Committee On Education Report",20,0,0,0,20
1917213,1476631,2025-01-29,House,"House Committee On Education Report",22,0,0,0,22
1917250,1541928,2025-04-09,House,"House Committee On Appropriations Report",24,0,0,1,25
1917286,1476931,2025-01-29,House,"House Committee On Education Report",15,8,0,0,23
1917286,1507975,2025-01-29,House,"House Committee On Education Report",22,0,0,1,23
1917286,1507976,2025-01-29,House,"House Committee On Education Report",22,0,0,1,23
1917286,1507977,2025-01-29,House,"House Committee On Education Report",22,0,0,1,23
1917286,1507978,2025-01-29,House,"House Committee On Education Report",22,0,0,1,23
1917286,1507979,2025-01-29,House,"House Committee On Education Report",22,0,0,1,23
1917286,1507980,2025-01-29,House,"House Committee On Education Report",22,0,0,1,23
1917286,1507981,2025-01-29,House,"House Committee On Education Report",22,0,0,1,23
1917286,1507982,2025-01-29,House,"House Committee On Education Report",22,0,0,1,23
1917320,1491969,2025-02-18,House,"House Committee On Commerce Report",20,2,0,0,22
1917378,1482496,2025-02-05,House,"House Committee On State Government Report",23,0,0,0,23
1917414,1483265,2025-02-06,House,"House Committee On Local Government Report",18,0,0,0,18
1917428,1487086,2025-02-11,House,"House Committee On Education Report",15,5,0,0,20
1917448,1483502,2025-02-06,House,"House Committee On Commerce Report",23,0,0,0,23
1917505,1487099,2025-02-11,House,"House Committee On Local Government Report",20,0,0,0,20
1917521,1487096,2025-02-11,House,"House Committee On Natural Resources Report",13,8,0,0,21
1917571,1485113,2025-02-10,House,"House Committee On Health And Human Services Report",20,0,0,0,20
1917622,1487115,2025-02-11,House,"House Committee On Natural Resources Report",21,0,0,0,21
1918505,1487075,2025-02-11,House,"House Committee On Local Government Report",16,4,0,0,20
1918532,1476812,2025-01-29,House,"House Committee On Veterans Affairs Report",17,0,0,0,17
1918552,1487907,2025-02-12,Senate,"Senate Judiciary Report",19,1,0,0,20
1918552,1520311,2025-03-18,Senate,"Shall amendment S–3027 be adopted?",13,35,0,2,50
1918552,1520312,2025-03-18,Senate,"Shall the bill pass?",47,1,0,2,50
1918552,1528725,2025-03-26,House,"Shall the bill pass?",84,11,0,5,100
1918561,1486690,2025-02-11,House,"House Committee On Education Report",23,0,0,0,23
1918571,1506959,2025-03-05,House,"House Committee On Education Report",23,0,0,0,23
1918614,1491550,2025-02-17,Senate,"Senate Local Government Report",11,0,0,0,11
1918614,1509559,2025-03-10,Senate,"Shall the bill pass?",47,0,0,3,50
1918614,1509560,2025-03-10,House,"Shall the bill pass?",89,0,0,10,99
1918619,1476733,2025-01-29,House,"House Committee On Education Report",20,3,0,0,23
1918641,1508311,2025-03-06,Senate,"Senate Judiciary Report",19,0,0,1,20
1918641,1539102,2025-04-07,Senate,"Shall the bill pass?",47,0,0,3,50
1918650,1500924,2025-02-26,House,"House Committee On Public Safety Report",13,9,0,0,22
1918669,1493780,2025-02-19,House,"House Committee On Public Safety Report",20,0,0,0,20
1918701,1476953,2025-01-29,House,"House Committee On Public Safety Report",23,0,0,0,23
1918701,1507973,2025-01-29,House,"House Committee On Education Report",23,0,0,0,23
1918701,1507974,2025-01-29,House,"House Committee On Education Report",23,0,0,0,23
1918708,1480088,2025-02-04,Senate,"Senate Transportation Report",15,0,0,0,15
1918708,1521122,2025-03-19,Senate,"Shall the bill pass?",47,0,0,3,50
1918708,1533811,2025-04-01,House,"House Committee On Commerce Report",19,0,0,2,21
1918719,1485090,2025-02-10,House,"House Committee On Health And Human Services Report",13,7,0,0,20
1918759,1475772,2025-01-28,House,"House Committee On Local Government Report",20,0,0,0,20
1918790,1473313,2025-01-22,House,"House Committee On Education Report",23,0,0,0,23
1918849,1473314,2025-01-22,House,"House Committee On Education Report",22,1,0,0,23
1918907,1506977,2025-03-05,House,"House Committee On Public Safety Report",21,0,0,0,21
1918938,1487661,2025-02-12,House,"House Committee On Higher Education Report",21,0,0,0,21
1918956,1476950,2025-01-29,House,"House Committee On Public Safety Report",21,2,0,0,23
1918965,1500716,2025-02-26,House,"House Committee On State Government Report",15,8,0,0,23
1918981,1476073,2025-01-28,House,"House Committee On Agriculture Report",23,0,0,0,23
1918986,1476968,2025-01-29,House,"House Committee On Public Safety Report",21,2,0,0,23
1918997,1477373,2025-01-30,House,"House Committee On Judiciary Report",15,6,0,0,21
1919005,1500990,2025-02-26,House,"House Committee On Ways And Means Report",24,0,0,0,24
1919015,1485120,2025-02-10,House,"House Committee On Health And Human Services Report",20,0,0,0,20
1919056,1506811,2025-03-05,House,"House Committee On Public Safety Report",20,1,0,0,21
1919342,1487098,2025-02-11,House,"House Committee On Education Report",13,7,0,0,20
