bill_id,people_id,position
1914825,7075,1
1914825,21057,2
1914891,22691,1
1914962,22691,1
1915030,7075,1
1915030,21057,2
1915261,17430,1
1915577,7075,1
1915577,21057,2
1915951,22552,1
1916002,10726,1
1916051,10726,1
1916102,22488,1
1916151,22488,1
1916200,10726,1
1916256,22488,1
1916305,22488,1
1916354,22552,1
1916403,24515,1
1916454,10726,1
1916503,10726,1
1916554,10726,1
1916599,10726,1
1917017,22664,1
1917031,24097,1
1917047,7121,1
1917062,14790,1
1917080,21242,1
1917095,14790,1
1917109,21242,1
1917127,14790,1
1917140,21242,1
1917157,21242,1
1917179,7121,1
1917199,21125,1
1917213,21044,1
1917235,24097,1
1917250,24097,1
1917267,22683,1
1917286,22664,1
1917306,21044,1
1917320,21242,1
1917343,21242,1
1917360,24097,1
1917378,21242,1
1917398,24097,1
1917414,24097,1
1917428,21125,1
1917428,24097,2
1917448,22682,1
1917467,21044,1
1917483,21242,1
1917505,24097,1
1917521,24097,1
1917538,24097,1
1917559,21242,1
1917571,21125,1
1917587,7121,1
1917605,7121,1
1917622,24097,1
1917649,24381,1
1917739,7121,1
1917833,7121,1
1917926,7121,1
1918021,7131,1
1918115,7121,1
1918208,7131,1
1918301,7121,1
1918395,7131,1
1918505,21242,1
1918514,14797,1
1918524,22690,1
1918532,7072,1
1918542,22690,1
1918552,7010,11
1918552,10726,1
1918552,14797,9
1918552,15397,12
1918552,15398,8
1918552,17368,17
1918552,17430,10
1918552,21097,6
1918552,22488,5
1918552,22489,16
1918552,22530,7
1918552,22531,2
1918552,23049,13
1918552,23866,3
1918552,24514,14
1918552,24515,15
1918552,26319,4
1918561,22688,1
1918561,22689,2
1918571,7077,1
1918576,24100,1
1918592,7010,1
1918601,7010,1
1918614,10726,1
1918619,7077,1
1918633,22531,1
1918641,22690,1
1918650,24100,1
1918657,17430,1
1918669,24105,1
1918679,15400,1
1918692,14790,1
1918692,22663,2
1918701,24105,1
1918708,22531,1
1918719,21051,2
1918719,26306,1
1918732,15400,1
1918737,24105,1
1918747,24100,1
1918759,22688,1
1918768,24100,1
1918784,22690,1
1918790,7077,1
1918799,26306,1
1918811,15400,1
1918820,24106,1
1918825,22690,1
1918838,18961,1
1918849,7077,1
1918860,17430,1
1918865,22690,1
1918878,22488,1
1918888,17430,1
1918900,17430,1
1918907,24100,1
1918916,22690,1
1918927,17430,1
1918938,24105,1
1918943,24514,1
1918956,24105,1
1918965,24112,1
1918981,22688,1
1918986,24106,1
1918997,24100,1
1919005,14793,3
1919005,24100,1
1919005,24112,2
1919015,24380,1
1919025,18961,1
1919033,22690,1
1919043,17430,1
1919052,14797,1
1919056,24100,1
1919342,24380,1
1919359,14793,1
1919359,24103,2
1919380,24380,1
1919402,7066,1
1919425,7066,1
1919447,24380,1
1919470,17290,1
1919491,24097,1
1919517,17290,1
1919540,24869,1
1919563,7066,1
1919583,7066,1
1919610,21242,1
1919610,22688,2
1919635,24098,1
1919653,7066,1
1919680,24380,1
1919700,17290,1
1919722,14793,1
1919746,17290,1
1919771,7061,1
1919792,7066,1
1919815,7066,1
1919838,14793,1
1919861,7066,1
1919884,17290,1
1919906,14793,1
1920054,7076,1
1920120,7037,1
1920190,7076,1
1920266,10726,1
1920266,18623,2
1920266,21097,5
1920266,22489,4
1920266,22531,3
1920266,23866,6
1920340,7076,1
1920411,7076,1
1920479,7076,1
1920557,24855,1
1920631,10726,1
1920702,7159,1
1920770,24869,1
1920927,7072,1
1921009,22489,1
1921090,7077,1
1921175,23866,1
1921255,22801,1
1921335,10726,1
1921335,14797,2
1921335,17368,5
1921335,17430,3
1921335,22531,11
