roll_call_id,people_id,vote,vote_desc
1507762,7010,1,Yea
1507762,7037,2,Nay
1507762,10726,1,Yea
1507762,14789,1,Yea
1507762,14797,1,Yea
1507762,15397,1,Yea
1507762,21052,2,Nay
1507762,21055,2,Nay
1507762,22531,1,Yea
1507762,22650,2,Nay
1507762,23049,1,Yea
1507762,24514,1,Yea
1507762,26319,1,Yea
1507762,26320,1,Yea
1507762,26409,2,Nay
1501788,7003,2,Nay
1501788,7134,2,Nay
1501788,14797,1,Yea
1501788,15398,1,Yea
1501788,17368,1,Yea
1501788,17430,1,Yea
1501788,21055,2,Nay
1501788,22488,1,Yea
1501788,22552,1,Yea
1501788,22650,2,Nay
1501788,24515,1,Yea
1501788,24625,1,Yea
1501788,26319,1,Yea
1501788,26320,1,Yea
1501788,26409,2,Nay
1500573,7000,2,Nay
1500573,7033,2,Nay
1500573,14790,1,Yea
1500573,16122,2,Nay
1500573,17218,1,Yea
1500573,17290,1,Yea
1500573,18960,1,Yea
1500573,22572,2,Nay
1500573,22686,1,Yea
1500573,24100,1,Yea
1500573,24102,1,Yea
1500573,24105,1,Yea
1500573,24106,1,Yea
1500573,24109,1,Yea
1500573,24110,1,Yea
1500573,24265,1,Yea
1500573,24620,2,Nay
1500573,24627,2,Nay
1500573,26307,1,Yea
1500573,26308,2,Nay
1500573,26309,1,Yea
1500573,26316,1,Yea
1487073,6970,2,Nay
1487073,14790,1,Yea
1487073,17289,1,Yea
1487073,17458,1,Yea
1487073,19016,2,Nay
1487073,19287,2,Nay
1487073,21092,2,Nay
1487073,22572,2,Nay
1487073,22682,1,Yea
1487073,24097,1,Yea
1487073,24099,1,Yea
1487073,24101,1,Yea
1487073,24112,1,Yea
1487073,24627,2,Nay
1487073,24629,2,Nay
1487073,24632,2,Nay
1487073,26303,1,Yea
1487073,26307,1,Yea
1487073,26309,1,Yea
1487073,26314,1,Yea
1487073,26316,1,Yea
1477499,7033,1,Yea
1477499,7069,1,Yea
1477499,16122,1,Yea
1477499,17218,1,Yea
1477499,17290,1,Yea
1477499,18961,1,Yea
1477499,21051,1,Yea
1477499,21091,1,Yea
1477499,21242,1,Yea
1477499,21419,1,Yea
1477499,22553,1,Yea
1477499,22573,1,Yea
1477499,22664,1,Yea
1477499,22962,1,Yea
1477499,24100,1,Yea
1477499,24109,1,Yea
1477499,24630,1,Yea
1477499,24631,1,Yea
1477499,24813,1,Yea
1477499,26306,1,Yea
1477499,26311,1,Yea
1487116,7033,1,Yea
1487116,17287,1,Yea
1487116,17825,1,Yea
1487116,18953,1,Yea
1487116,18958,1,Yea
1487116,21056,1,Yea
1487116,21093,1,Yea
1487116,21125,1,Yea
1487116,22573,1,Yea
1487116,22663,1,Yea
1487116,22682,1,Yea
1487116,22688,1,Yea
1487116,24098,1,Yea
1487116,24111,1,Yea
1487116,24266,1,Yea
1487116,24621,1,Yea
1487116,24632,1,Yea
1487116,26303,1,Yea
1487116,26310,1,Yea
1487116,26315,1,Yea
1476631,7033,1,Yea
1476631,17825,1,Yea
1476631,18961,1,Yea
1476631,19141,1,Yea
1476631,19287,1,Yea
1476631,21051,1,Yea
1476631,21056,1,Yea
1476631,21093,1,Yea
1476631,22663,1,Yea
1476631,22664,1,Yea
1476631,22683,1,Yea
1476631,22688,1,Yea
1476631,24098,1,Yea
1476631,24102,1,Yea
1476631,24103,1,Yea
1476631,24104,1,Yea
1476631,24626,1,Yea
1476631,24627,1,Yea
1476631,24628,1,Yea
1476631,26304,1,Yea
1476631,26306,1,Yea
1476631,26315,1,Yea
1541928,6970,1,Yea
1541928,6981,1,Yea
1541928,14793,1,Yea
1541928,17218,1,Yea
1541928,17290,1,Yea
1541928,17458,1,Yea
1541928,18954,1,Yea
1541928,18958,1,Yea
1541928,19141,1,Yea
1541928,21091,1,Yea
1541928,21092,1,Yea
1541928,22572,1,Yea
1541928,22573,1,Yea
1541928,22683,1,Yea
