bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1914825,3051926,text,8488,text/html,Introduced,https://legiscan.com/IA/text/HCR1/id/3051926,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HCR1.html
2070876,3305617,text,8637,text/html,Introduced,https://legiscan.com/IA/text/HCR101/id/3305617,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HCR101.html
2070920,3305656,text,8329,text/html,Introduced,https://legiscan.com/IA/text/HCR102/id/3305656,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HCR102.html
2071003,3305730,text,7313,text/html,Introduced,https://legiscan.com/IA/text/HCR103/id/3305730,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HCR103.html
1915030,3052123,text,8121,text/html,Introduced,https://legiscan.com/IA/text/HCR2/id/3052123,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HCR2.html
1915577,3052650,text,7309,text/html,Introduced,https://legiscan.com/IA/text/HCR3/id/3052650,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HCR3.html
1951901,3095763,text,140290,text/html,Introduced,https://legiscan.com/IA/text/HCR4/id/3095763,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HCR4.html
1952140,3095986,text,351597,text/html,Introduced,https://legiscan.com/IA/text/HCR5/id/3095986,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HCR5.html
1993710,3156683,text,25238,text/html,Introduced,https://legiscan.com/IA/text/HCR6/id/3156683,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HCR6.html
2003482,3169578,text,39498,text/html,Introduced,https://legiscan.com/IA/text/HCR7/id/3169578,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HCR7.html
2031431,3237411,text,4980,text/html,Introduced,https://legiscan.com/IA/text/HCR8/id/3237411,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HCR8.html
1917286,3054326,text,56294,text/html,Introduced,https://legiscan.com/IA/text/HF1/id/3054326,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF1.html
1917213,3054256,text,23134,text/html,Introduced,https://legiscan.com/IA/text/HF10/id/3054256,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF10.html
1933907,3071170,text,71559,text/html,Introduced,https://legiscan.com/IA/text/HF100/id/3071170,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF100.html
2022601,3208189,text,39124,text/html,Introduced,https://legiscan.com/IA/text/HF1000/id/3208189,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF1000.html
2022601,575223,supplement,93736,application/pdf,Fiscal Note/Analysis,https://legiscan.com/IA/supplement/HF1000/id/575223,https://www.legis.iowa.gov/docs/publications/NOBA/1525889.pdf
2022601,581695,supplement,93589,application/pdf,Fiscal Note/Analysis,https://legiscan.com/IA/supplement/HF1000/id/581695,https://www.legis.iowa.gov/docs/publications/NOBA/1526214.pdf
