bill_id,date,chamber,sequence,action
1914825,2025-01-13,House,1,"Resolution filed, laid over under Rule 25. H.J. 10."
1914825,2025-01-13,House,2,Asked and received unanimous consent for immediate consideration. H.J. 10.
1914825,2025-01-13,House,3,Resolution adopted. H.J. 11.
1914825,2025-01-13,House,4,Immediate message. H.J. 12.
1914825,2025-01-13,Senate,5,Message from House. S.J. 14.
1914825,2025-01-13,Senate,6,"Read first time, placed on calendar. S.J. 14."
1914825,2025-01-13,Senate,7,Resolution adopted. S.J. 14.
1914825,2025-01-13,Senate,8,Immediate message. S.J. 15.
1914825,2025-01-13,House,9,Message from Senate. H.J. 17.
2070876,2026-01-12,House,1,"Resolution filed, laid over under Rule 25. H.J. 4."
2070876,2026-01-12,House,2,Resolution adopted. H.J. 5.
2070876,2026-01-12,House,3,Immediate message. H.J. 6.
2070876,2026-01-12,Senate,4,Message from House. S.J. 15.
2070876,2026-01-12,Senate,5,"Read first time, placed on calendar. S.J. 15."
2070876,2026-01-12,Senate,6,Resolution adopted. S.J. 15.
2070876,2026-01-12,Senate,7,Immediate message. S.J. 16.
2070876,2026-01-13,House,8,Message from Senate. H.J. 39.
2070920,2026-01-12,House,1,"Resolution filed, laid over under Rule 25. H.J. 5."
2070920,2026-01-12,House,2,Resolution adopted. H.J. 5.
2070920,2026-01-12,House,3,Immediate message. H.J. 6.
2070920,2026-01-12,Senate,4,Message from House. S.J. 15.
2070920,2026-01-12,Senate,5,"Read first time, placed on calendar. S.J. 15."
2070920,2026-01-12,Senate,6,Resolution adopted. S.J. 16.
2070920,2026-01-12,Senate,7,Immediate message. S.J. 16.
2070920,2026-01-13,House,8,Message from Senate. H.J. 39.
2071003,2026-01-12,House,1,"Resolution filed, laid over under Rule 25. H.J. 5."
2071003,2026-01-12,House,2,Resolution adopted. H.J. 6.
2071003,2026-01-12,House,3,Immediate message. H.J. 6.
2071003,2026-01-12,Senate,4,Message from House. S.J. 15.
2071003,2026-01-12,Senate,5,"Read first time, placed on calendar. S.J. 15."
2071003,2026-01-12,Senate,6,Resolution adopted. S.J. 16.
2071003,2026-01-12,Senate,7,Immediate message. S.J. 16.
2071003,2026-01-13,House,8,Message from Senate. H.J. 39.
1915030,2025-01-13,House,1,"Resolution filed, laid over under Rule 25. H.J. 11."
1915030,2025-01-13,House,2,Asked and received unanimous consent for immediate consideration. H.J. 11.
1915030,2025-01-13,House,3,Resolution adopted. H.J. 11.
1915030,2025-01-13,House,4,Immediate message. H.J. 12.
1915030,2025-01-13,Senate,5,Message from House. S.J. 14.
1915030,2025-01-13,Senate,6,"Read first time, placed on calendar. S.J. 14."
1915030,2025-01-13,Senate,7,Resolution adopted. S.J. 15.
1915030,2025-01-13,Senate,8,Immediate message. S.J. 15.
1915030,2025-01-13,House,9,Message from Senate. H.J. 17.
1915577,2025-01-13,House,1,"Resolution filed, laid over under Rule 25. H.J. 11."
1915577,2025-01-13,House,2,Asked and received unanimous consent for immediate consideration. H.J. 11.
1915577,2025-01-13,House,3,Resolution adopted. H.J. 12.
1915577,2025-01-13,House,4,Immediate message. H.J. 12.
1915577,2025-01-13,Senate,5,Message from House. S.J. 14.
1915577,2025-01-13,Senate,6,"Read first time, placed on calendar. S.J. 14."
1915577,2025-01-13,Senate,7,Resolution adopted. S.J. 15.
1915577,2025-01-13,Senate,8,Immediate message. S.J. 15.
1915577,2025-01-13,House,9,Message from Senate. H.J. 17.
1951901,2025-02-03,House,1,"Introduced, placed on calendar. H.J. 180."
1951901,2025-02-06,House,2,Resolution adopted. H.J. 236.
1951901,2025-02-06,House,3,Immediate message. H.J. 252.
1951901,2025-02-06,Senate,4,Message from House. S.J. 206.
1951901,2025-02-06,Senate,5,"Read first time, attached to SCR 1. S.J. 206."
1951901,2025-02-06,Senate,6,Substituted for SCR 1. S.J. 207.
1951901,2025-02-06,Senate,7,Resolution adopted. S.J. 207.
1951901,2025-02-06,Senate,8,Immediate message. S.J. 207.
1951901,2025-02-06,House,9,Message from Senate. H.J. 252.
1952140,2025-02-03,House,1,"Resolution filed, laid over under Rule 25. H.J. 180."
1952140,2025-02-06,House,2,Resolution adopted. H.J. 202.
1952140,2025-02-06,House,3,Immediate message. H.J. 252.
1952140,2025-02-10,Senate,4,Message from House. S.J. 212.
1952140,2025-02-10,Senate,5,"Read first time, referred to Rules and Administration. S.J. 212."
1952140,2025-02-17,Senate,6,"Committee report, recommending passage. S.J. 283."
1952140,2025-02-17,Senate,7,Placed on calendar.
1952140,2025-02-18,Senate,8,Resolution adopted. S.J. 291.
1952140,2025-02-18,Senate,9,Immediate message. S.J. 292.
1952140,2025-02-19,House,10,Message from Senate. H.J. 355.
1993710,2025-03-06,House,1,"Resolution filed, laid over under Rule 25. H.J. 556."
1993710,2025-04-21,House,2,Resolution adopted. H.J. 1002.
1993710,2025-04-21,House,3,Immediate message. H.J. 1010.
1993710,2025-04-22,Senate,4,Message from House. S.J. 848.
1993710,2025-04-22,Senate,5,"Read first time, attached to SCR 2. S.J. 848."
1993710,2025-06-16,Senate,6,Referred to Transportation. S.J. 1058.
1993710,2026-01-16,Senate,7,"Subcommittee: Zumbach, Kraayenbrink, and Townsend. S.J. 110."
1993710,2026-01-16,Senate,8,Subcommittee Meeting: [].
1993710,2026-01-20,Senate,9,Subcommittee recommends passage.
1993710,2026-01-21,Senate,10,"Committee report, recommending passage. S.J. 126."
1993710,2026-01-21,Senate,11,Placed on calendar.
2003482,2025-03-12,House,1,"Resolution filed, laid over under Rule 25. H.J. 639."
2031431,2025-05-14,House,1,"Resolution filed, laid over under Rule 25. H.J. 1219."
1917286,2025-01-14,House,1,"Introduced, referred to Education. H.J. 38."
1917286,2025-01-21,House,2,"Subcommittee: Stone, Behn and Matson. H.J. 105."
1917286,2025-01-21,House,3,Subcommittee Meeting: 01/22/2025 3:00PM RM 304.
1917286,2025-01-22,House,4,Subcommittee recommends passage.
1917286,2025-01-29,House,5,"Committee report, recommending passage. H.J. 141."
1917286,2025-01-29,House,6,"Committee vote: Yeas, 15. Nays, 8. H.J. 142."
1917286,2025-01-30,House,7,"Committee report approving bill, renumbered as HF 189."
1917286,2025-03-21,House,8,Withdrawn. H.J. 772.
1917213,2025-01-14,House,1,"Introduced, referred to Education. H.J. 40."
